trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,15,-156.8490566876641,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-85.16022297964935,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-173.83680029816082,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-117.38488020873298,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-100.73042926002911,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-66.02671418865881,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-111.68948482068869,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-54.26482774309109,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-91.25934043794294,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-61.95641739707821,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-77.40299776634373,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-1.439130162675797,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-82.49980591058755,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-202.21566513022302,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 5}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-120.02822243279991,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,12,12.08523157196675,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-58.69667699813986,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-56.21804709759428,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-56.445930318147596,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,1,-18.750533798017276,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,8,13.266501303643235,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,12.794490429546114,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,11,-26.25946749461552,"{0: 11, 1: 1, 2: 0, 3: 2, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,13.530769916675329,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-53.2095067954364,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,6.856511330895085,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-32.81606478659291,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-22.7030715505504,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,26.71418566952628,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-15.911400627941376,"{0: 27, 1: 1, 2: 0, 3: 2, 4: 0}",0
