trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999000499833375}",25,0,-191.39756408404034,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9980019986673331}",25,0,-88.29640621118212,"{0: 12, 1: 5, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.997004495503373}",20,0,-108.64634062135973,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9960079893439915}",30,0,-94.47276894942794,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9950124791926823}",20,0,-115.02249080077858,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9940179640539353}",20,0,-72.86143986236411,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9930244429332351}",25,0,-195.32712425220154,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9920319148370607}",30,0,-113.9508807110558,"{0: 15, 1: 6, 2: 8, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9910403787728836}",20,0,-135.18621403772946,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9900498337491681}",20,0,-46.397130513842555,"{0: 12, 1: 7, 2: 0, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9890602787753687}",30,0,-154.0536435428437,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9880717128619305}",25,0,-81.19155333025991,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9870841350202876}",20,7,-15.709761730873439,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.9860975442628619}",20,0,-80.61277513315058,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-75.89517638828697,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9841273200552851}",25,0,-85.62504969061334,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9831436846349096}",25,0,-173.66725384342837,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9821610323583008}",20,0,-111.85239581542507,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.981179362242806}",25,0,-120.72205614848191,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9801986733067553}",30,0,-84.14993543765107,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",1
21,False,"{'a': 0.5, 'e': 0.9792189645694596}",30,17,-73.04052764312324,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.97824023505121}",25,0,-130.86920900681014,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9772624837732771}",25,0,-45.81562327498382,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9762857097579093}",20,0,-213.43275389874697,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 5}",0
25,False,"{'a': 0.5, 'e': 0.9753099120283326}",25,0,-193.896794222301,"{0: 13, 1: 0, 2: 7, 3: 3, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.9743350896087494}",20,0,-142.30046094455153,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9733612415243368}",25,0,-195.0808448500735,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9723883668012469}",20,0,-113.64456945613912,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9714164644666048}",20,0,-137.08730693136914,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9704455335485082}",30,13,-118.53561514941754,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.9694755730760259}",30,7,-93.31376114954041,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.9685065820791976}",25,0,-108.32027835863707,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.967538559589032}",25,0,-149.1575035418597,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.9665715046375066}",25,0,-54.854036505573745,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9656054162575665}",30,0,-140.64793263133018,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9646402934831231}",25,0,-45.83196645213184,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.9636761353490535}",20,0,-72.12005210417276,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9627129408911995}",20,0,-85.67229366044732,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.9617507091463667}",20,0,-119.6462845150512,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
