trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-88.11320937790023,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-47.249199099165146,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-100.99722437413175,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-83.80600338589585,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,14,-9.601188804604888,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-199.5418201365836,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-68.15649122842012,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-170.72298393678656,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-125.72762961556725,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-147.18393355437763,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-78.57708684730171,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-168.58384142017724,"{0: 20, 1: 0, 2: 5, 3: 3, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-150.53552738994026,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-83.03524174589978,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-197.72122766051248,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-42.97016353089916,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-140.56625481606687,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,13,-48.906112138153055,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,12,-58.25124808386435,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-63.15780420318977,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-169.28107731337644,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",30,0,-158.54603223062745,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",30,10,-100.4835859923269,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",1
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-63.48275957515087,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",30,0,-85.13403584214201,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-129.41412206590434,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,0,-165.0828776522497,"{0: 8, 1: 5, 2: 3, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",20,0,-74.4833927086086,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",25,0,-91.86235529374909,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-107.58228688033292,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
